"","Day","sea_level_rise_average"
"189",1927-04-15,-128.71406
"190",1927-07-15,-127.7474
"191",1927-10-15,-131.98073
"192",1928-01-15,-138.51406
"193",1928-04-15,-134.58073
"194",1928-07-15,-128.88073
"195",1928-10-15,-133.88073
"196",1929-01-15,-141.3474
"197",1929-04-15,-133.11406
"198",1929-07-15,-129.08073
"199",1929-10-15,-131.4474
"200",1930-01-15,-134.6474
"201",1930-04-15,-136.01406
"202",1930-07-15,-122.91406
"203",1930-10-15,-124.78073
"204",1931-01-15,-130.8474
"205",1931-04-15,-130.08073
"206",1931-07-15,-126.7474
"207",1931-10-15,-131.21406
"208",1932-01-15,-126.71406
"209",1932-04-15,-124.41406
"210",1932-07-15,-125.1474
"211",1932-10-15,-122.6474
"212",1933-01-15,-117.5474
"213",1933-04-15,-116.31406
"214",1933-07-15,-119.98073
"215",1933-10-15,-122.88073
"216",1934-01-15,-123.8474
"217",1934-04-15,-120.6474
"218",1934-07-15,-127.3474
"219",1934-10-15,-128.5474
"220",1935-01-15,-119.3474
"221",1935-04-15,-116.11406
"222",1935-07-15,-118.1474
"223",1935-10-15,-123.7474
"224",1936-01-15,-120.51406
"225",1936-04-15,-124.9474
"226",1936-07-15,-124.81406
"227",1936-10-15,-124.08073
"228",1937-01-15,-119.71406
"229",1937-04-15,-117.5474
"230",1937-07-15,-119.88073
"231",1937-10-15,-115.8474
"232",1938-01-15,-110.91406
"233",1938-04-15,-112.11406
"234",1938-07-15,-121.5474
"235",1938-10-15,-115.1474
"236",1939-01-15,-114.58073
"237",1939-04-15,-111.5474
"238",1939-07-15,-101.48073
"239",1939-10-15,-112.01406
"240",1940-01-15,-111.91406
"241",1940-04-15,-117.48073
"242",1940-07-15,-121.68073
"243",1940-10-15,-111.18073
"244",1941-01-15,-106.01406
"245",1941-04-15,-103.41406
"246",1941-07-15,-100.7474
"247",1941-10-15,-101.48073
"248",1942-01-15,-107.2474
"249",1942-04-15,-108.3474
"250",1942-07-15,-101.4474
"251",1942-10-15,-97.0474
"252",1943-01-15,-97.88073
"253",1943-04-15,-98.51406
"254",1943-07-15,-104.01406
"255",1943-10-15,-107.98073
"256",1944-01-15,-105.2474
"257",1944-04-15,-102.81406
"258",1944-07-15,-116.9474
"259",1944-10-15,-112.88073
"260",1945-01-15,-107.6474
"261",1945-04-15,-107.01406
"262",1945-07-15,-104.4474
"263",1945-10-15,-108.4474
"264",1946-01-15,-103.5474
"265",1946-04-15,-98.68073
"266",1946-07-15,-92.68073
"267",1946-10-15,-101.01406
"268",1947-01-15,-104.28073
"269",1947-04-15,-101.7474
"270",1947-07-15,-97.4474
"271",1947-10-15,-86.8474
"272",1948-01-15,-87.3474
"273",1948-04-15,-92.98073
"274",1948-07-15,-91.81406
"275",1948-10-15,-90.8474
"276",1949-01-15,-87.31406
"277",1949-04-15,-92.5474
"278",1949-07-15,-95.41406
"279",1949-10-15,-93.68073
"280",1950-01-15,-92.28073
"281",1950-04-15,-92.2474
"282",1950-07-15,-91.4474
"283",1950-10-15,-87.61406
"284",1951-01-15,-82.01406
"285",1951-04-15,-74.01406
"286",1951-07-15,-82.31406
"287",1951-10-15,-83.9474
"288",1952-01-15,-85.08073
"289",1952-04-15,-86.98073
"290",1952-07-15,-84.48073
"291",1952-10-15,-79.61406
"292",1953-01-15,-76.8474
"293",1953-04-15,-78.28073
"294",1953-07-15,-75.3474
"295",1953-10-15,-82.21406
"296",1954-01-15,-82.18073
"297",1954-04-15,-81.2474
"298",1954-07-15,-86.71406
"299",1954-10-15,-80.81406
"300",1955-01-15,-72.38073
"301",1955-04-15,-79.61406
"302",1955-07-15,-87.4474
"303",1955-10-15,-81.7474
"304",1956-01-15,-82.38073
"305",1956-04-15,-82.38073
"306",1956-07-15,-86.58073
"307",1956-10-15,-90.01406
"308",1957-01-15,-83.01406
"309",1957-04-15,-70.11406
"310",1957-07-15,-69.5474
"311",1957-10-15,-72.8474
"312",1958-01-15,-72.2474
"313",1958-04-15,-73.31406
"314",1958-07-15,-72.91406
"315",1958-10-15,-68.81406
"316",1959-01-15,-68.71406
"317",1959-04-15,-73.11406
"318",1959-07-15,-70.21406
"319",1959-10-15,-69.91406
"320",1960-01-15,-70.38073
"321",1960-04-15,-66.48073
"322",1960-07-15,-66.88073
"323",1960-10-15,-67.58073
"324",1961-01-15,-60.2474
"325",1961-04-15,-56.2474
"326",1961-07-15,-60.7474
"327",1961-10-15,-65.6474
"328",1962-01-15,-66.68073
"329",1962-04-15,-67.61406
"330",1962-07-15,-68.0474
"331",1962-10-15,-63.41406
"332",1963-01-15,-63.88073
"333",1963-04-15,-65.51406
"334",1963-07-15,-69.91406
"335",1963-10-15,-69.01406
"336",1964-01-15,-77.9474
"337",1964-04-15,-81.9474
"338",1964-07-15,-70.98073
"339",1964-10-15,-73.11406
"340",1965-01-15,-66.18073
"341",1965-04-15,-67.0474
"342",1965-07-15,-66.31406
"343",1965-10-15,-60.7474
"344",1966-01-15,-64.28073
"345",1966-04-15,-70.08073
"346",1966-07-15,-70.48073
"347",1966-10-15,-71.68073
"348",1967-01-15,-72.91406
"349",1967-04-15,-73.8474
"350",1967-07-15,-66.4474
"351",1967-10-15,-63.9474
"352",1968-01-15,-63.48073
"353",1968-04-15,-75.48073
"354",1968-07-15,-72.81406
"355",1968-10-15,-60.01406
"356",1969-01-15,-59.71406
"357",1969-04-15,-60.31406
"358",1969-07-15,-62.61406
"359",1969-10-15,-60.3474
"360",1970-01-15,-61.23975
"361",1970-04-15,-66.58982
"362",1970-07-15,-67.80814
"363",1970-10-15,-64.95967
"364",1971-01-15,-59.36343
"365",1971-04-15,-57.29109
"366",1971-07-15,-61.51765
"367",1971-10-15,-60.11195
"368",1972-01-15,-57.45813
"369",1972-04-15,-48.01152
"370",1972-07-15,-43.744
"371",1972-10-15,-48.07716
"372",1973-01-15,-53.00694
"373",1973-04-15,-57.22708
"374",1973-07-15,-59.69814
"375",1973-10-15,-55.99076
"376",1974-01-15,-44.53938
"377",1974-04-15,-41.29231
"378",1974-07-15,-42.41754
"379",1974-10-15,-44.02791
"380",1975-01-15,-41.24135
"381",1975-04-15,-40.25499
"382",1975-07-15,-44.54439
"383",1975-10-15,-46.36849
"384",1976-01-15,-47.44591
"385",1976-04-15,-43.38576
"386",1976-07-15,-40.14991
"387",1976-10-15,-41.39076
"388",1977-01-15,-44.83496
"389",1977-04-15,-49.70088
"390",1977-07-15,-48.46944
"391",1977-10-15,-45.60521
"392",1978-01-15,-41.26372
"393",1978-04-15,-41.87924
"394",1978-07-15,-45.392
"395",1978-10-15,-47.43206
"396",1979-01-15,-53.21401
"397",1979-04-15,-51.85539
"398",1979-07-15,-48.35037
"399",1979-10-15,-42.4946
"400",1980-01-15,-39.62568
"401",1980-04-15,-40.11137
"402",1980-07-15,-41.42697
"403",1980-10-15,-38.29846
"404",1981-01-15,-30.47303
"405",1981-04-15,-28.62912
"406",1981-07-15,-28.66032
"407",1981-10-15,-27.93232
"408",1982-01-15,-30.79048
"409",1982-04-15,-34.04954
"410",1982-07-15,-33.78492
"411",1982-10-15,-26.99358
"412",1983-01-15,-24.03743
"413",1983-04-15,-23.20008
"414",1983-07-15,-27.12332
"415",1983-10-15,-32.07189
"416",1984-01-15,-31.57944
"417",1984-04-15,-27.57409
"418",1984-07-15,-25.04278
"419",1984-10-15,-27.78992
"420",1985-01-15,-33.6156
"421",1985-04-15,-35.50844
"422",1985-07-15,-35.00677
"423",1985-10-15,-35.20057
"424",1986-01-15,-34.12176
"425",1986-04-15,-32.84495
"426",1986-07-15,-33.0361
"427",1986-10-15,-33.46858
"428",1987-01-15,-29.50557
"429",1987-04-15,-28.90509
"430",1987-07-15,-31.39855
"431",1987-10-15,-34.31563
"432",1988-01-15,-27.97777
"433",1988-04-15,-27.38584
"434",1988-07-15,-26.95959
"435",1988-10-15,-26.68788
"436",1989-01-15,-29.96407
"437",1989-04-15,-24.26904
"438",1989-07-15,-23.32165
"439",1989-10-15,-21.8144
"440",1990-01-15,-23.40021
"441",1990-04-15,-24.06558
"442",1990-07-15,-18.38446
"443",1990-10-15,-16.3655
"444",1991-01-15,-18.15554
"445",1991-04-15,-17.5856
"446",1991-07-15,-15.89548
"447",1991-10-15,-12.68882
"448",1992-01-15,-11.17667
"449",1992-04-15,-13.23923
"450",1992-07-15,-16.47831
"451",1992-10-15,-16.6333
"452",1993-01-15,-18.13835
"453",1993-04-15,-16.58892
"454",1993-07-15,-22.54011
"455",1993-10-15,-27.44191
"456",1994-01-15,-21.28105
"457",1994-04-15,-17.63631
"458",1994-07-15,-17.08159
"459",1994-10-15,-16.77565
"460",1995-01-15,-13.53047
"461",1995-04-15,-12.13451
"462",1995-07-15,-13.28908
"463",1995-10-15,-10.50725
"464",1996-01-15,-7.05866
"465",1996-04-15,-12.19906
"466",1996-07-15,-11.45393
"467",1996-10-15,-7.3501
"468",1997-01-15,-6.43646
"469",1997-04-15,-1.21115
"470",1997-07-15,-2.55864
"471",1997-10-15,-2.01091
"472",1998-01-15,-2.18943
"473",1998-04-15,-10.06429
"474",1998-07-15,-10.49035
"475",1998-10-15,-8.18047
"476",1999-01-15,-5.99732
"477",1999-04-15,-0.90868
"478",1999-07-15,-0.60471
"479",1999-10-15,-2.45536
"480",2000-01-15,-5.17582
"481",2000-04-15,0.16507
"482",2000-07-15,0.32859
"483",2000-10-15,-3.5678
"484",2001-01-15,0.73735
"485",2001-04-15,3.42258
"486",2001-07-15,4.0327
"487",2001-10-15,3.39856
"488",2002-01-15,-1.05837
"489",2002-04-15,-1.56778
"490",2002-07-15,1.08633
"491",2002-10-15,3.36992
"492",2003-01-15,3.24694
"493",2003-04-15,5.28813
"494",2003-07-15,10.77244
"495",2003-10-15,11.86577
"496",2004-01-15,7.56092
"497",2004-04-15,7.7018
"498",2004-07-15,10.59808
"499",2004-10-15,8.70617
"500",2005-01-15,9.02399
"501",2005-04-15,9.13256
"502",2005-07-15,10.4647
"503",2005-10-15,7.78977
"504",2006-01-15,9.36491
"505",2006-04-15,14.76707
"506",2006-07-15,12.41419
"507",2006-10-15,13.23097
"508",2007-01-15,6.52432
"509",2007-04-15,10.04572
"510",2007-07-15,18.53728
"511",2007-10-15,16.01026
"512",2008-01-15,16.56862
"513",2008-04-15,23.63056
"514",2008-07-15,27.62711
"515",2008-10-15,22.07113
"516",2009-01-15,18.8664
"517",2009-04-15,23.53385
"518",2009-07-15,31.03554
"519",2009-10-15,36.90731
"520",2010-01-15,38.77694
"521",2010-04-15,34.88547
"522",2010-07-15,33.87824
"523",2010-10-15,37.25103
"524",2011-01-15,37.34795
"525",2011-04-15,35.97776
"526",2011-07-15,36.71847
"527",2011-10-15,34.68251
"528",2012-01-15,34.20025
"529",2012-04-15,41.72089
"530",2012-07-15,47.1739
"531",2012-10-15,46.27147
"532",2013-01-15,44.80457
"533",2013-04-15,44.57792
"534",2013-07-15,41.33799
"535",2013-10-15,37.38712
"536",2014-01-15,41.26864
"537",2014-04-15,48.81691
"538",2014-07-15,53.85737
"539",2014-10-15,55.67588
"540",2015-01-15,53.26458
"541",2015-04-15,50.08209
"542",2015-07-15,50.46171
"543",2015-10-15,54.90935
"544",2016-01-15,58.72329
"545",2016-04-15,56.71159
"546",2016-07-15,54.34696
"547",2016-10-15,55.541
"548",2017-01-15,54.96168
"549",2017-04-15,55.61237
"550",2017-07-15,57.35599
"551",2017-10-15,52.51952
"552",2018-01-15,49.37086
"553",2018-04-15,52.57545
"554",2018-07-15,53.08512
"555",2018-10-15,53.30166
"556",2019-01-15,56.60749
"557",2019-04-15,58.67191
"558",2019-07-15,61.39371
"559",2019-10-15,67.24985
"560",2020-01-15,68.81163
"561",2020-04-15,66.73996
"562",2020-07-15,66.70433
"563",2020-10-15,61.74304
